id,municipio,poblacion_total,poblacion_mayores,porcentaje_mayores
46192,Petrés,1057,216,20.440000000000001
46193,Picanya,11665,2104,18.039999999999999
46194,Picassent,21761,3728,17.129999999999999
46195,Piles,2882,511,17.73
46196,Pinet,155,46,29.68
46197,Polinyà de Xúquer,2493,487,19.530000000000001
46198,Potries,1075,229,21.300000000000001
46199,"Pobla de Farnals, la",8368,1513,18.079999999999998
46200,"Pobla del Duc, la",2447,586,23.949999999999999
46201,Puebla de San Miguel,59,21,35.590000000000003
46202,"Pobla de Vallbona, la",25625,3309,12.91
46203,"Pobla Llarga, la",4443,948,21.34
46204,"Puig de Santa Maria, el",8792,1912,21.75
46205,Puçol,20191,3549,17.579999999999998
46206,Quesa,647,188,29.059999999999999
46207,Rafelbunyol,9381,1466,15.630000000000001
46208,Rafelcofer,1386,311,22.440000000000001
46209,Rafelguaraf,2360,522,22.120000000000001
46210,Ráfol de Salem,443,97,21.899999999999999
46211,"Real de Gandia, el",2574,416,16.16
46212,Real,2287,471,20.59
46213,Requena,20058,4336,21.620000000000001
46214,Riba-roja de Túria,23050,3197,13.869999999999999
46215,Riola,1793,350,19.52
46216,Rocafort,7603,1099,14.449999999999999
46217,Rotglà i Corberà,1163,237,20.379999999999999
46218,Ròtova,1265,339,26.800000000000001
46219,Rugat,175,57,32.57
46220,Sagunto/Sagunt,68066,14520,21.329999999999998
46221,Salem,411,100,24.329999999999998
46222,Sant Joanet,534,78,14.609999999999999
46223,Sedaví,10349,2116,20.449999999999999
46224,Segart,174,41,23.559999999999999
46225,Sellent,380,103,27.109999999999999
46226,Sempere,26,13,50
46227,Senyera,1108,186,16.789999999999999
46228,Serra,3405,565,16.59
46229,Siete Aguas,1180,292,24.75
46230,Silla,19298,3696,19.149999999999999
46231,Simat de la Valldigna,3271,771,23.57
46232,Sinarcas,1135,288,25.370000000000001
46233,Sollana,4915,972,19.780000000000001
46234,Sot de Chera,384,92,23.960000000000001
46235,Sueca,27738,5779,20.829999999999998
46236,Sumacàrcer,1054,284,26.940000000000001
